#type	timestamp	serial	sender	destination	path	interface	member
#					in_reply_to
sig	1787915155.612314	105	:1.5	<none>	/org/a11y/atspi/accessible/227	org.a11y.atspi.Event.Object	TextCaretMoved
sig	1787915155.612394	106	:1.5	<none>	/org/a11y/atspi/accessible/230	org.a11y.atspi.Event.Object	PropertyChange
sig	1787915155.628088	107	:1.5	<none>	/org/a11y/atspi/accessible/227	org.a11y.atspi.Event.Object	TextCaretMoved
sig	1787915155.628107	108	:1.5	<none>	/org/a11y/atspi/accessible/230	org.a11y.atspi.Event.Object	PropertyChange
sig	1787915155.644576	109	:1.5	<none>	/org/a11y/atspi/accessible/227	org.a11y.atspi.Event.Object	TextCaretMoved
sig	1787915155.644592	110	:1.5	<none>	/org/a11y/atspi/accessible/230	org.a11y.atspi.Event.Object	PropertyChange
sig	1787915155.662084	111	:1.5	<none>	/org/a11y/atspi/accessible/227	org.a11y.atspi.Event.Object	TextCaretMoved
sig	1787915155.662128	112	:1.5	<none>	/org/a11y/atspi/accessible/230	org.a11y.atspi.Event.Object	PropertyChange
sig	1787915155.678766	113	:1.5	<none>	/org/a11y/atspi/accessible/227	org.a11y.atspi.Event.Object	TextCaretMoved
sig	1787915155.678904	114	:1.5	<none>	/org/a11y/atspi/accessible/230	org.a11y.atspi.Event.Object	PropertyChange
sig	1787915155.683140	115	:1.5	<none>	/org/a11y/atspi/accessible/228	org.a11y.atspi.Event.Object	TextCaretMoved
sig	1787915155.683154	116	:1.5	<none>	/org/a11y/atspi/accessible/227	org.a11y.atspi.Event.Object	StateChanged
sig	1787915155.683156	117	:1.5	<none>	/org/a11y/atspi/accessible/228	org.a11y.atspi.Event.Object	StateChanged
sig	1787915155.835558	118	:1.5	<none>	/org/a11y/atspi/accessible/230	org.a11y.atspi.Event.Object	PropertyChange
sig	1787915155.844721	119	:1.5	<none>	/org/a11y/atspi/accessible/228	org.a11y.atspi.Event.Object	TextCaretMoved
sig	1787915155.844737	120	:1.5	<none>	/org/a11y/atspi/accessible/230	org.a11y.atspi.Event.Object	PropertyChange
sig	1787915155.861553	121	:1.5	<none>	/org/a11y/atspi/accessible/228	org.a11y.atspi.Event.Object	TextCaretMoved
sig	1787915155.861577	122	:1.5	<none>	/org/a11y/atspi/accessible/230	org.a11y.atspi.Event.Object	PropertyChange
sig	1787915155.878647	123	:1.5	<none>	/org/a11y/atspi/accessible/228	org.a11y.atspi.Event.Object	TextCaretMoved
sig	1787915155.878793	124	:1.5	<none>	/org/a11y/atspi/accessible/230	org.a11y.atspi.Event.Object	PropertyChange
sig	1787915155.895551	125	:1.5	<none>	/org/a11y/atspi/accessible/226	org.a11y.atspi.Event.Object	TextCaretMoved
sig	1787915155.895701	126	:1.5	<none>	/org/a11y/atspi/accessible/230	org.a11y.atspi.Event.Object	PropertyChange
sig	1787915155.912334	127	:1.5	<none>	/org/a11y/atspi/accessible/226	org.a11y.atspi.Event.Object	TextCaretMoved
sig	1787915155.912354	128	:1.5	<none>	/org/a11y/atspi/accessible/230	org.a11y.atspi.Event.Object	PropertyChange
sig	1787915155.928699	129	:1.5	<none>	/org/a11y/atspi/accessible/226	org.a11y.atspi.Event.Object	TextCaretMoved
sig	1787915155.928716	130	:1.5	<none>	/org/a11y/atspi/accessible/230	org.a11y.atspi.Event.Object	PropertyChange
sig	1787915156.081103	131	:1.5	<none>	/org/a11y/atspi/accessible/230	org.a11y.atspi.Event.Object	PropertyChange
sig	1787915156.233579	132	:1.5	<none>	/org/a11y/atspi/accessible/230	org.a11y.atspi.Event.Object	PropertyChange
sig	1787915156.385506	133	:1.5	<none>	/org/a11y/atspi/accessible/230	org.a11y.atspi.Event.Object	PropertyChange
sig	1787915156.388835	134	:1.5	<none>	/org/a11y/atspi/accessible/228	org.a11y.atspi.Event.Object	StateChanged
sig	1787915156.388849	135	:1.5	<none>	/org/a11y/atspi/accessible/231	org.a11y.atspi.Event.Object	StateChanged
sig	1787915156.540845	136	:1.5	<none>	/org/a11y/atspi/accessible/230	org.a11y.atspi.Event.Object	PropertyChange
